Nome Azienda,Referente,Telefono,Email
Azienda B,Sara Neri,098-765-4321,mario.rossi@azienda.it
Azienda C,Mario Rossi,098-765-4321,mario.rossi@azienda.it
Azienda A,Mario Rossi,123-456-7890,giulia.verdi@azienda.it
Azienda B,Luca Bianchi,123-456-7890,mario.rossi@azienda.it
Azienda A,Luca Bianchi,333-444-5555,sara.neri@azienda.it
Azienda D,Mario Rossi,333-444-5555,mario.rossi@azienda.it
Azienda D,Giulia Verdi,098-765-4321,giulia.verdi@azienda.it
Azienda B,Sara Neri,098-765-4321,luca.bianchi@azienda.it
Azienda C,Giulia Verdi,555-123-4567,giulia.verdi@azienda.it
Azienda A,Luca Bianchi,555-123-4567,giulia.verdi@azienda.it
Azienda A,Mario Rossi,333-444-5555,mario.rossi@azienda.it
Azienda B,Giulia Verdi,098-765-4321,giulia.verdi@azienda.it
Azienda C,Luca Bianchi,333-444-5555,sara.neri@azienda.it
Azienda B,Sara Neri,555-123-4567,giulia.verdi@azienda.it
Azienda B,Luca Bianchi,098-765-4321,giulia.verdi@azienda.it
Azienda C,Luca Bianchi,098-765-4321,luca.bianchi@azienda.it
Azienda A,Luca Bianchi,098-765-4321,giulia.verdi@azienda.it
Azienda D,Sara Neri,123-456-7890,luca.bianchi@azienda.it
Azienda A,Giulia Verdi,123-456-7890,mario.rossi@azienda.it
Azienda C,Luca Bianchi,098-765-4321,luca.bianchi@azienda.it
Azienda D,Giulia Verdi,555-123-4567,mario.rossi@azienda.it
Azienda A,Giulia Verdi,333-444-5555,mario.rossi@azienda.it
Azienda B,Giulia Verdi,555-123-4567,sara.neri@azienda.it
Azienda A,Luca Bianchi,098-765-4321,luca.bianchi@azienda.it
Azienda A,Luca Bianchi,123-456-7890,luca.bianchi@azienda.it
Azienda D,Luca Bianchi,555-123-4567,sara.neri@azienda.it
Azienda A,Luca Bianchi,555-123-4567,luca.bianchi@azienda.it
Azienda C,Giulia Verdi,123-456-7890,giulia.verdi@azienda.it
Azienda D,Luca Bianchi,123-456-7890,luca.bianchi@azienda.it
Azienda A,Sara Neri,098-765-4321,mario.rossi@azienda.it
